Date	Open	High	Low	Close	Volume	Adj Close			
24/03/2006	5990.1	6037.9	5990.1	6036.3	2097466800	6036.3			
27/03/2006	6036.3	6047	5971.4	5972.2	1526643600	5972.2			
28/03/2006	5972.2	6004.3	5929.7	5935.7	2137043000	5935.7			
29/03/2006	5935.7	5979.7	5927.2	5959.2	1742429400	5959.2			
30/03/2006	5959.2	6036	5959.2	6015.2	1496758000	6015.2			
31/03/2006	6015.2	6019.2	5961.4	5964.6	1650124600	5964.6			
03/04/2006	5964.6	6033.5	5964.6	6024.3	1488772200	6024.3			
04/04/2006	6024.3	6024.3	5984.3	6004.7	1622348200	6004.7			
05/04/2006	6004.7	6047.5	5983.5	6044.1	2111723800	6044.1			
06/04/2006	6044.1	6073.3	6037.6	6045.7	1830574800	6045.7			
07/04/2006	6045.7	6074.2	6020.6	6026.1	1984025400	6026.1			
10/04/2006	6026.1	6067	6024.3	6067	1716789400	6067			
11/04/2006	6067	6092.5	6012.9	6016.5	2013240400	6016.5			
12/04/2006	6016.5	6020	5974.5	6000.8	1851945400	6000.8			
13/04/2006	6000.8	6033.7	5987.2	6029.4	1300431400	6029.4			
18/04/2006	6029.4	6056.1	6026.1	6044.1	1389246800	6044.1			
19/04/2006	6044.1	6100.6	6044.1	6089.8	1703340600	6089.8			
20/04/2006	6089.8	6113.4	6074.2	6081.4	2029861600	6081.4			
21/04/2006	6081.4	6137.1	6077.9	6132.7	1553597400	6132.7			
24/04/2006	6132.7	6136.5	6098.7	6098.7	1338013400	6098.7			
25/04/2006	6098.7	6128.8	6084.6	6086.6	1581336400	6086.6			
26/04/2006	6086.6	6126.5	6086.6	6104.3	1650185400	6104.3			
27/04/2006	6104.3	6104.6	6026.2	6060	1966010000	6060			
28/04/2006	6060	6060	6023.1	6023.1	1644294800	6023.1			
02/05/2006	6023.1	6090.7	6022.3	6082.1	1657637600	6082.1			
03/05/2006	6082.1	6100	6008.7	6010	1886399400	6010			
04/05/2006	6010	6045.8	6001.1	6036.9	1687069400	6036.9			
05/05/2006	6036.9	6093.1	6033.9	6091.7	1852648000	6091.7			
08/05/2006	6091.7	6133.5	6058.8	6067.1	1607859400	6067.1			
09/05/2006	6067.1	6109.7	6054.6	6105.6	2064291600	6105.6			
10/05/2006	6105.6	6110	6079.6	6083.4	1940756400	6083.4			
11/05/2006	6083.4	6114.5	6039.9	6042	1600703400	6042			
12/05/2006	6042	6042	5912.1	5912.1	1697671200	5912.1			
